Dataset,target,n,spearman_rho,p_value
HCV,W_exact,10,0.41818181818181815,0.22911284098281892
HCV,abs_gap,10,-0.01818181818181818,0.9602404181286242
HCV,pct_gap,10,-0.04242424242424241,0.9073638178128159
Synthetic,W_exact,10,0.4545454545454545,0.18690481034933196
Synthetic,abs_gap,10,-0.6484848484848483,0.04254012768448949
Synthetic,pct_gap,10,-0.7454545454545454,0.013330146315440054
