Dataset,Mode,Method,n,Gap_pct_mean,Gap_pct_std,Gap_pct_min,Gap_pct_max
Iris,full,Proposed,30,31.551009377058087,23.688044093085512,12.240283203311643,107.50008635742367
Iris,full,GA,10,711.6902480726069,101.75902544173783,575.0318080172433,885.907052585433
Synthetic,full,Proposed,30,1908.547342952843,550.7642146816073,582.693600719902,3486.8272904379646
Synthetic,full,GA,30,87989.97084267298,3320.4419939658846,79584.9957222281,95050.6500817293
HCV,full,Proposed,30,52.33563414196957,9.137335753574057,31.062386279097158,74.33945130422305
HCV,full,GA,30,256.53259837033414,10.246079597998168,234.91016854633014,277.39928137388495
Synthetic,sub300,Proposed,10,258.8440693843533,298.40898221958554,51.19470154225372,810.7488895299525
Synthetic,sub300,GA,5,8161.177443384047,5259.115367079154,4177.860639553177,15737.013945448121
HCV,sub300,Proposed,10,21.95616364600641,14.900740926404428,8.194633224289854,60.77493684276498
HCV,sub300,GA,5,132.14450880103593,26.887662490215874,94.3642175047881,154.677147638482
